2026/04/01 19:50:29.598510 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=8 plainLen=3446 | Alloc=1.63MiB HeapInuse=3.20MiB | activePDF=2
2026/04/01 19:50:29.612237 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=9 plainLen=5182 | Alloc=1.44MiB HeapInuse=3.27MiB | activePDF=2
2026/04/01 19:50:29.617415 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=10 plainLen=2324 | Alloc=1.45MiB HeapInuse=2.98MiB | activePDF=2
2026/04/01 19:50:29.626250 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=11 plainLen=3329 | Alloc=2.05MiB HeapInuse=3.46MiB | activePDF=2
2026/04/01 19:50:29.628297 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=6 plainLen=3737 | Alloc=3.78MiB HeapInuse=4.90MiB | activePDF=1
2026/04/01 19:50:29.636173 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=12 plainLen=2591 | Alloc=1.94MiB HeapInuse=3.21MiB | activePDF=2
2026/04/01 19:50:29.646201 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=13 plainLen=4401 | Alloc=1.54MiB HeapInuse=3.60MiB | activePDF=2
2026/04/01 19:50:29.650881 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=4 plainLen=1889 | Alloc=2.77MiB HeapInuse=3.79MiB | activePDF=2
2026/04/01 19:50:29.658155 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=14 plainLen=5924 | Alloc=3.01MiB HeapInuse=4.39MiB | activePDF=2
2026/04/01 19:50:29.663814 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf | Alloc=2.54MiB Sys=49.64MiB HeapInuse=3.68MiB HeapObjs=21810 Mallocs=2513321 NumGC=269 | activePDF=2
2026/04/01 19:50:29.667432 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=15 plainLen=4107 | Alloc=2.35MiB HeapInuse=3.50MiB | activePDF=2
2026/04/01 19:50:29.667432 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_exit file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf | Alloc=2.37MiB Sys=49.64MiB HeapInuse=3.52MiB HeapObjs=19065 Mallocs=2540930 NumGC=270 | activePDF=1
2026/04/01 19:50:29.667432 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=南邮博士研究生毕业要求.pdf | Alloc=2.43MiB Sys=49.64MiB HeapInuse=3.56MiB HeapObjs=19398 Mallocs=2541402 NumGC=270 | activePDF=1
2026/04/01 19:50:29.667432 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf | Alloc=2.44MiB Sys=49.64MiB HeapInuse=3.56MiB HeapObjs=19510 Mallocs=2541580 NumGC=270 | activePDF=1
2026/04/01 19:50:29.667432 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf | Alloc=2.45MiB Sys=49.64MiB HeapInuse=3.56MiB HeapObjs=19614 Mallocs=2541736 NumGC=270 | activePDF=2
2026/04/01 19:50:29.670824 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=南邮博士研究生毕业要求.pdf | Alloc=1.67MiB Sys=49.64MiB HeapInuse=3.01MiB HeapObjs=13733 Mallocs=2564623 NumGC=271 | activePDF=2
2026/04/01 19:50:29.699985 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:NewReader_ok file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf | Alloc=2.74MiB Sys=49.64MiB HeapInuse=4.05MiB HeapObjs=8833 Mallocs=2791519 NumGC=287 | activePDF=2
2026/04/01 19:50:29.700500 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_pages=74 file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf | Alloc=2.85MiB Sys=49.64MiB HeapInuse=4.16MiB HeapObjs=5808 Mallocs=2793899 NumGC=287 | activePDF=2
2026/04/01 19:50:29.707476 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=1 plainLen=342 | Alloc=3.52MiB HeapInuse=4.91MiB | activePDF=2
2026/04/01 19:50:29.714920 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=2 plainLen=802 | Alloc=4.79MiB HeapInuse=5.95MiB | activePDF=2
2026/04/01 19:50:29.721981 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=3 plainLen=1041 | Alloc=3.14MiB HeapInuse=4.53MiB | activePDF=2
2026/04/01 19:50:29.728695 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=4 plainLen=1485 | Alloc=2.63MiB HeapInuse=4.20MiB | activePDF=2
2026/04/01 19:50:29.732980 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=5 plainLen=1963 | Alloc=3.72MiB HeapInuse=5.05MiB | activePDF=2
2026/04/01 19:50:29.736615 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=5 plainLen=1341 | Alloc=2.97MiB HeapInuse=4.25MiB | activePDF=2
2026/04/01 19:50:29.743313 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=6 plainLen=1537 | Alloc=3.89MiB HeapInuse=5.34MiB | activePDF=2
2026/04/01 19:50:29.748638 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=7 plainLen=1517 | Alloc=2.17MiB HeapInuse=3.77MiB | activePDF=2
2026/04/01 19:50:29.753788 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=8 plainLen=1567 | Alloc=3.75MiB HeapInuse=5.05MiB | activePDF=2
2026/04/01 19:50:29.754816 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=7 plainLen=4843 | Alloc=1.92MiB HeapInuse=3.10MiB | activePDF=1
2026/04/01 19:50:29.757455 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=9 plainLen=1523 | Alloc=3.08MiB HeapInuse=4.47MiB | activePDF=2
2026/04/01 19:50:29.762012 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=10 plainLen=431 | Alloc=3.30MiB HeapInuse=4.59MiB | activePDF=2
2026/04/01 19:50:29.766772 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=11 plainLen=650 | Alloc=2.47MiB HeapInuse=3.91MiB | activePDF=2
2026/04/01 19:50:29.770961 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=12 plainLen=1037 | Alloc=3.07MiB HeapInuse=4.21MiB | activePDF=2
2026/04/01 19:50:29.774568 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=13 plainLen=678 | Alloc=2.97MiB HeapInuse=4.15MiB | activePDF=2
2026/04/01 19:50:29.779769 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=14 plainLen=1324 | Alloc=2.73MiB HeapInuse=4.04MiB | activePDF=2
2026/04/01 19:50:29.785459 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=15 plainLen=1584 | Alloc=2.63MiB HeapInuse=3.88MiB | activePDF=2
2026/04/01 19:50:29.788051 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=6 plainLen=1974 | Alloc=3.14MiB HeapInuse=4.34MiB | activePDF=2
2026/04/01 19:50:29.789084 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=16 plainLen=862 | Alloc=2.09MiB HeapInuse=3.68MiB | activePDF=2
2026/04/01 19:50:29.792794 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=17 plainLen=447 | Alloc=2.45MiB HeapInuse=3.79MiB | activePDF=2
2026/04/01 19:50:29.796594 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=18 plainLen=427 | Alloc=3.10MiB HeapInuse=4.47MiB | activePDF=2
2026/04/01 19:50:29.801272 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=19 plainLen=972 | Alloc=2.68MiB HeapInuse=4.05MiB | activePDF=2
2026/04/01 19:50:29.806027 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=20 plainLen=789 | Alloc=3.26MiB HeapInuse=4.51MiB | activePDF=2
2026/04/01 19:50:29.812204 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=21 plainLen=1319 | Alloc=2.67MiB HeapInuse=3.80MiB | activePDF=2
2026/04/01 19:50:29.818907 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=22 plainLen=1437 | Alloc=3.19MiB HeapInuse=4.34MiB | activePDF=2
2026/04/01 19:50:29.824736 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=23 plainLen=1466 | Alloc=3.03MiB HeapInuse=4.49MiB | activePDF=2
2026/04/01 19:50:29.829865 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=24 plainLen=593 | Alloc=2.83MiB HeapInuse=3.97MiB | activePDF=2
2026/04/01 19:50:29.836179 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=25 plainLen=1182 | Alloc=2.44MiB HeapInuse=3.63MiB | activePDF=2
2026/04/01 19:50:29.842343 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=26 plainLen=1093 | Alloc=2.18MiB HeapInuse=3.89MiB | activePDF=2
2026/04/01 19:50:29.843384 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=8 plainLen=4848 | Alloc=2.89MiB HeapInuse=4.12MiB | activePDF=1
2026/04/01 19:50:29.848014 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=7 plainLen=1992 | Alloc=2.27MiB HeapInuse=3.61MiB | activePDF=2
2026/04/01 19:50:29.849553 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=27 plainLen=1321 | Alloc=3.17MiB HeapInuse=4.55MiB | activePDF=2
2026/04/01 19:50:29.854701 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=28 plainLen=1304 | Alloc=2.61MiB HeapInuse=4.04MiB | activePDF=2
2026/04/01 19:50:29.857790 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=29 plainLen=1089 | Alloc=2.46MiB HeapInuse=3.75MiB | activePDF=2
2026/04/01 19:50:29.860355 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=先知社区24_武汉0525.pdf | Alloc=3.10MiB Sys=49.64MiB HeapInuse=4.30MiB HeapObjs=11389 Mallocs=4438547 NumGC=388 | activePDF=2
2026/04/01 19:50:29.862922 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=30 plainLen=1322 | Alloc=2.60MiB HeapInuse=3.95MiB | activePDF=2
2026/04/01 19:50:29.869148 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=31 plainLen=1971 | Alloc=3.10MiB HeapInuse=4.52MiB | activePDF=2
2026/04/01 19:50:29.873819 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=32 plainLen=527 | Alloc=2.95MiB HeapInuse=4.25MiB | activePDF=2
2026/04/01 19:50:29.880601 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=33 plainLen=1263 | Alloc=3.25MiB HeapInuse=4.58MiB | activePDF=2
2026/04/01 19:50:29.887279 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=34 plainLen=1600 | Alloc=3.04MiB HeapInuse=4.20MiB | activePDF=2
2026/04/01 19:50:29.894220 pdf_memhook.go:67: [pdf-mem] page file=中国计算机学会推荐国际学术会议和期刊目录-2022更名版.pdf page=35 plainLen=727 | Alloc=4.03MiB HeapInuse=5.33MiB | activePDF=2
2026/04/01 19:50:29.900010 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=9 plainLen=5099 | Alloc=1.84MiB HeapInuse=3.04MiB | activePDF=1
